cell-line	canonical_name	resource	Amelogenin	CSF1PO	D13S317	D16S539	D18S51	D19S433	D21S11	D2S1338	D3S1358	D5S818	D7S820	D8S1179	FGA	Penta	TH01	TPOX	vWA
SNB-19	U-251 MG	GNE:586850	X	"11,12"	"10,11"	12	13	"13,15"	29	"22,24"	"16,17"	"11,12"	"10,12"	"13,15"	"21,25"	E	9.3	8	"16,18"
																			
EPLC-272H	EPLC-272H	GNE:586337	X	13	"12,13"	"11,12"	15	0	31.2	0	15	13	"8,9"	12	20	E	"7,9.3"	8	18
																			
MTA	MTA	JCRB:IFO50513	X	"10,11"	11	"9,12"	0	0	0	0	0	"10,11"	"10,11"	0	0	0	"6,7"	"8,11"	"18,19"
																			
RCC10RGB	RCC10RGB	RCB:1151	X	11	"11,12"	"12,13"	0	0	0	0	0	"10,12"	"12,13"	0	0	0	"6,9"	8	"14,18"
																			
UCSD-AML1	0	DSM:ACC-691	X	"10,12"	"11,12"	"8,12"	0	0	0	0	0	"10,12"	11	0	0	0	"7,8"	"8,9"	"15,17"
																			
FCP-S5H	FCP-S5H	RCB:0787	X	"10,11"	"10,12"	"9,13"	0	0	0	0	0	"11,13"	"8,10"	0	0	0	7	"8,11"	"14,16"
																			
NCI-H345	NCI-H345	GNE:130851	X	"11,12"	"9,11"	8	"12,13"	0	"29,31"	0	18	12	"9,13"	"14,16"	20	E	"9,9.3"	"8,9"	"15,16"
																			
KASUMI-2	Kasumi-2	DSM:ACC-526	X	"10,11"	"8,13,12"	"9,13"	0	0	0	0	0	"11,12"	"11,12"	0	0	0	"8,10"	"8,11"	"17,18"
																			
MKN-45	MKN-45	GNE:586115	X	12	"8,11"	10	16	0	31	0	"15,16"	"10,11"	"10,11"	"13,17"	"19,24"	E	7	8	19
																			
SW 1990	SW 1990	GNE:584189	X	"10,12"	"8,12"	13	13	0	31	0	16	"12,13"	"9,10"	"11,14"	26	E	9.3	"8,9"	17
																			
LA-N-5	LA-N-5	RCB:0485	"X,Y"	"10,11"	"9,12"	"9,12"	0	0	0	0	0	11	10	0	0	0	"6,9.3"	8	"15,16"
																			
CCD-1001Sk	0	ATCC:CRL-1987	"X,Y"	"11,15"	"11,12"	"10,13"	0	0	0	0	0	"10,11"	"9,11"	0	0	0	"8,9"	8	"17,18"
																			
JHUEM-1	JHUEM-1	RCB:1548	X	"10,14"	8	"9,10"	0	0	0	0	0	"11,12"	"12,13"	0	0	0	6	"7,8"	"17,18,19"
																			
CCD 112SK	0	ATCC:CRL-2429	"X,Y"	10	12	"11,12"	0	0	0	0	0	"11,12"	"8,10"	0	0	0	"7,9.3"	11	"16,18"
																			
MR6	HeLa	GNE:586830	X	"9,10"	13.3	"9,10"	16	"13,14"	"27,28"	17	"15,18"	"11,12"	8	12	21	E	7	"8,12"	"15,18"
																			
UM-UC-1	UM-UC-1	GNE:586099	X	12	"12,14"	"9,11"	15	0	"28,29"	0	"17,18"	13	"8,11"	"12,14"	"22,24"	E	8	8	"14,15"
																			
HE22	HE22	RCB:2241	"X,Y"	12	"8,9"	10	0	0	0	0	0	10	10	0	0	0	"7,9"	"8,11"	19
																			
Sawano	Sawano	RCB:1152	X	"12,13"	"12,13"	"9,10"	0	0	0	0	0	"9,12"	"10,13"	0	0	0	9	8	"19,20,21"
																			
451Lu	451Lu	ATCC:CRL-2813	X	12	11	13	0	0	0	0	0	12	"9,10"	0	0	0	9	"8,10"	"14,15"
																			
Ran Nor	Ran Nor	JCRB:9079	"X,Y"	"10,12"	"8,12"	"12,13"	0	0	0	0	0	"11,12"	"11,12"	0	0	0	"6,7"	"8,11"	"15,17"
																			
HCC1367	HCC985	GNE:587052	X	"12,13"	10	14	14	14	33.2	24	15	"11,12"	10	"10,13"	"23,24"	E	6	"8,9"	17
																			
HKB-11	1G2	ATCC:CRL-12568	"X,Y"	"10,11,12"	"12,14"	"9,10"	0	0	0	0	0	"8,9,12"	"10,11,12"	0	0	0	"7,9,9.3"	"6,11"	"15,16,19"
																			
HuH-28	HuH-28	GNE:586877	X	"9,12"	"9,12"	9	15	"13,14.2"	"30,33.2"	19	"15,16"	"9,12"	"10,11"	11	23	E	9	8	17
																			
CGM1	CGM1	RCB:0566	"X,Y"	"10,12"	12	"8,13"	0	0	0	0	0	"11,12"	10	0	0	0	6	"9,10"	"15,17"
																			
WM793B	1205Lu	ATCC:CRL-2806	"X,Y"	11	"8,14"	12	0	0	0	0	0	"10,12"	"10,12"	0	0	0	"6,8"	8	17
																			
SNU-638	SNU-638	GNE:586240	X	"10,12"	10	"11,13"	"14,16"	0	"30.2,31"	0	15	"10,13,14,15"	"9,10"	"11,13"	"17,27"	E	7	"8,11"	"14,19"
																			
Hs 867.Sk	Hs 867.Sk	ATCC:CRL-7603	X	"11,12"	"8,12"	13	0	0	0	0	0	"12,13"	10	0	0	0	"7,9.3"	"8,9"	"16,17"
																			
CPT-K5	CPT-K5	JCRB:1067	X	"9,11,12"	"10,12"	"10,14"	0	0	0	0	0	"11,12,13"	"9,12,14"	0	0	0	"6,7"	8	"17,18,20"
																			
U-87 MG	U-87 MG	ATCC:HTB-14	"X,Y"	"10,11"	"8,11"	12	"13,14"	"15,15.2"	"28,32.2"	"20,23"	"16,17"	"11,12"	"8,9"	"10,11"	"18,24"	E	9.3	8	"15,17"
																			
